,ThC_LF,ThC_LM,ThC_LH,ThC_RF,ThC_RM,ThC_RH,FTi_LF,FTi_LM,FTi_LH,FTi_RF,FTi_RM,FTi_RH
c16_0495_min,-9.240523928,-42.81245849,-84.38860735,-78.15630274,-20.94145144,33.88052543,-179.0405027,-102.7317482,-160.0424382,-179.994054,-110.3905105,-177.5422977
c16_0495_max,47.82028269,44.17955875,-26.49132106,22.09290998,55.52416635,83.3597751,179.3849198,28.41372806,-99.76209727,179.9905609,51.37346817,178.2950543
c16_0496_min,-23.96421374,-30.87099527,-67.42070644,-103.6178982,-21.12234266,35.76722714,-179.9206982,-137.3143411,-148.734424,-179.2420366,-133.0249122,-178.6244311
c16_0496_max,37.92207839,18.13215989,-28.58870932,-6.254644382,41.79818121,76.93180127,179.6626513,35.80963193,-81.12469675,178.6403543,45.25602695,179.679133
c16_0497_min,-11.11830265,-50.02478023,-79.31705809,-62.55148613,-23.84585652,36.86325903,-179.7975469,-156.6045029,-178.9272735,-179.4698506,-117.2945274,74.03545681
c16_0497_max,57.35566399,29.29085077,-32.34789175,4.427502046,37.45469928,70.88278107,179.8983396,32.56213613,-97.00339837,178.7233193,23.58173732,177.4192098
c16_0498_min,-37.81225091,-47.97146045,-74.75461671,-106.1646953,-24.04105546,25.8970934,-179.8345744,-109.0616138,-171.7886481,-179.8358013,-140.6939338,-179.8736314
c16_0498_max,43.92757631,27.41710344,-11.53317019,42.38695632,53.57720849,82.36255939,179.8201934,69.75564429,-84.6483123,179.9617538,106.0520836,179.6124873
c16_0499_min,7.700787141,-57.60689467,-76.82104021,-79.7995399,-29.69293368,31.50318594,-179.8435376,-178.4172787,-179.8963123,-179.9571597,-109.4133953,-179.8566951
c16_0499_max,66.9168037,39.22839473,-24.24737422,0.484595481,45.94967309,75.35219773,179.9504538,174.7361979,179.634384,179.9714703,36.32196518,179.7902465
c16_0500_min,-4.916599868,-58.54556398,-74.31647385,-86.84307758,-25.08969833,29.03736885,-179.9851229,-128.6985919,-179.418198,-179.6087223,-119.5852285,-179.6684439
c16_0500_max,58.69133316,25.95999242,-29.44133017,4.699201857,40.57309404,71.77437862,179.9991277,27.01237074,179.8158558,179.9562514,45.34082026,179.4803767
c17_0522_min,-8.908450745,-58.63340975,-78.36362825,-88.35145344,-37.95292334,47.32882332,-178.2362783,-166.4914912,-179.9636603,-179.9791969,-178.3578353,-179.9669144
c17_0522_max,79.87847618,35.50040888,-47.77578674,10.02103369,52.14811912,81.62976431,177.9886443,35.20727155,179.8889135,179.8447975,179.1339891,179.9720224
c17_0523_min,-17.06846204,-52.61685041,-79.33017006,-92.06301955,-35.19117448,37.24443558,-165.9796804,-106.8714444,-179.8123996,-179.9900955,-178.7881728,-179.9657082
c17_0523_max,74.94511379,29.2941123,-48.05654824,8.167520556,54.5336686,77.83415307,170.5744084,30.83931813,179.9300332,179.3246317,173.5741889,179.9272102
c17_0524_min,-12.13716151,-48.62946754,-77.66913772,-89.43771099,-35.9788101,46.11912568,-165.3413051,-121.8797766,-179.973101,-179.2173141,-179.268382,-179.9999513
c17_0524_max,72.12048496,38.73372489,-49.4502314,12.26080237,58.7111021,87.73078182,179.2198388,27.63435804,179.9270299,179.8709202,179.2094714,179.9957916
c17_0525_min,-5.961271821,-48.94982205,-82.66838241,-80.14125501,-45.49651574,40.0721369,-177.122084,-141.0001023,-179.9951537,-179.5140914,-97.94078376,-179.9744918
c17_0525_max,87.88652184,41.52181792,-30.71235558,17.75032867,58.97499174,88.36554296,175.2063497,164.1501291,179.9417447,179.7831396,157.5491293,179.9637248
c17_0526_min,-0.667745757,-48.92382837,-78.12008882,-79.98058866,-35.98072149,49.51221937,-178.7885402,-179.1108841,-179.9799383,-179.8081645,-179.3725105,-179.9012487
c17_0526_max,78.32148566,39.6459105,-43.00536127,-0.552034493,44.68670102,83.8284952,179.5230508,86.75302469,179.9762391,179.894749,179.0362985,179.9883409
c18_0558_min,22.602956507123707,-63.67221723217239,-81.21413961815699,-86.81534059186976,-35.98970625057402,25.619903501083627,-179.6033928479991,-179.94231636544404,-179.89818487278717,-179.77778112974437,-179.99451678064517,87.32441689997933
c18_0558_max,77.8758351265489,42.21033082962521,-35.58508565819756,-3.84570927367227,52.44528151869514,75.44440856528163,177.61007071158517,179.54650077328463,179.99643473441174,178.12140217789667,179.87321564871792,168.8497257209123
c18_0559_min,30.37875806,-49.03587032,-82.07388981,-76.70368281,-26.2672278,28.27950074,-142.7223636,-179.9988194,-179.9733472,-179.7320888,-179.5126182,89.42052376
c18_0559_max,92.43880763,42.57944083,-42.60212562,0.030074718,58.37476284,65.61543466,141.3029814,179.9382255,179.9297233,178.3588081,179.6332197,164.8468456
c18_0560_min,16.58358011,-27.77421141,-86.2587547,-82.14452023,-26.58639598,18.85288301,-178.6317047,-179.848243,-179.2195756,-179.7914256,-179.9781564,108.3104471
c18_0560_max,93.04591101,42.07653,-23.75006872,5.624986235,61.04038244,59.55797798,168.963136,179.8884609,179.7467916,179.9793381,179.9502673,171.2872837
c18_0561_min,20.50597114,-63.54354226,-102.9191668,-77.31015413,-36.39148458,14.87632962,-152.4362362,-118.2438447,-179.8489118,-178.2123095,-59.49513482,55.19140794
c18_0561_max,84.85984405,37.72506319,-28.5498853,-10.48302062,60.43492663,95.91020038,113.9264153,54.5184678,179.9842652,177.7504388,113.5988741,168.5133913
c18_0562_min,17.44974189,-54.33861672,-79.31177028,-94.12540596,-38.96396921,31.80796461,-178.7028499,-101.1119915,-179.9058781,-179.8175146,-179.7465933,-179.4394623
c18_0562_max,70.23968169,35.02070586,-33.42837825,-23.64411188,45.68207359,78.01109637,178.703861,43.8242702,179.9676161,179.8219964,179.7878777,177.7461103
c19_0600_min,10.86906122,-23.37187876,-79.17494865,-53.15021172,-23.2958615,65.03323297,-153.3884637,-58.71792988,-148.3392493,-140.9729216,-24.73071228,96.13562914
c19_0600_max,54.544391,15.75038188,-59.28136634,-3.18546274,31.86029471,90.53397622,158.0276957,8.622097025,-89.86242183,168.8722133,64.96885828,164.3828657
c19_0601_min,27.11208237,-20.31402692,-77.57282684,-88.2072106,-18.65393989,36.19444189,-179.991107,-93.96461924,-176.7990796,-177.2400885,-59.72818025,103.2373329
c19_0601_max,55.27830747,35.16337665,-51.94335431,-15.94926943,36.41995704,72.27198774,179.9456442,52.92100577,-93.07899927,177.2068143,70.081623,173.8179134
c19_0603_min,1.568445945,-49.65216953,-84.57461172,-75.90122723,-33.30619738,33.19936101,-179.9688316,-179.5750167,-179.826909,-179.7728522,-179.7149006,-179.9884234
c19_0603_max,86.37569233,40.56278139,-45.50706433,-3.170394412,50.85383932,84.24875795,179.9979785,179.692784,179.9353898,179.9166036,179.9795032,179.9783042
c19_0604_min,11.48263957,-42.02509539,-82.75740362,-93.09153542,-31.80181836,36.4470595,-179.969573,-179.2885935,-179.9165464,-179.8424788,-179.902525,-179.9861305
c19_0604_max,80.85868474,44.18771554,-43.88223725,-6.038365816,48.91234916,87.80006476,179.9251252,178.7922433,179.9664721,179.7126691,179.6161224,179.9755284
c19_0605_min,38.03354351,5.344653614,-70.470545,-54.24719971,-3.396809926,62.43074783,109.0132849,-10.31468587,-146.7678886,-91.33420232,35.35642506,125.4946887
c19_0605_max,43.06736149,10.64573076,-68.16903121,-49.79081897,2.160267093,65.10386754,160.255535,-5.650243148,-141.223595,-84.00573998,45.40910407,132.717387
c20_0637_min,-3.059728916,-56.86415356,-89.28493836,-75.62962789,-32.68592644,34.48024638,-179.1094453,-175.7510696,-179.4044313,-179.9246333,-168.7710588,-179.6110823
c20_0637_max,92.13341626,38.53715203,-36.34160496,-22.5585201,56.80490862,88.45110478,179.6083032,175.1551858,179.8964103,179.9929781,177.7385496,179.5435705
c20_0638_min,20.06698244,-39.3697807,-90.44499724,-68.96603634,-26.98483923,29.13114981,-162.5701838,-92.09747765,-173.980179,-176.9223367,-43.01673416,-178.007409
c20_0638_max,87.32175722,36.47857992,-33.88955917,-13.49274505,52.26537111,76.18981308,162.3719172,139.9432923,-99.66947439,179.811709,107.869472,179.2513117
c20_0639_min,4.949919376,-57.34743797,-68.96666286,-72.7606574,-32.20377455,27.74760522,-179.5974536,-179.9842371,-179.9633389,-179.5406601,-172.2025924,-179.9641821
c20_0639_max,86.94008523,34.01134,-25.79069657,-8.769795318,45.47366835,66.57797568,179.6777872,174.8468824,179.7648228,178.396568,169.4844549,179.8406401
c20_0640_min,16.52793144,-50.97314724,-83.30581278,-68.70621172,-28.70397694,27.63754869,-176.6540528,-91.54151228,-179.3684442,-178.9242335,-59.09305306,-179.229688
c20_0640_max,86.27470014,30.85774737,-38.77587796,-8.437129613,45.10344025,75.16931072,179.2516141,57.2681294,179.7390282,178.8977181,167.2392796,179.4621973
c20_0641_min,30.16189376,-32.90011583,-87.13294291,-94.30985807,-25.77345143,27.02608296,-173.283311,-84.18740266,-172.755533,-177.526012,-22.08467856,-179.7370392
c20_0641_max,77.99240429,25.81004395,-40.52320435,-27.46344413,33.2934033,66.91098648,159.3354322,44.61786508,-95.03198723,179.3967931,86.47461621,179.4831263
c21_0674_min,-19.86122404,-46.86685989,-86.07653484,-68.29166027,-25.11945477,24.05046113,-178.9423461,-102.9640828,-179.7093281,-179.261996,-170.9141197,-179.5037416
c21_0674_max,86.24893659,51.73118042,-29.31105542,14.11217305,61.55778209,111.9721608,179.9961469,110.6463687,179.6226022,179.4491294,144.4489014,179.485425
c21_0675_min,8.681222198,-39.37579192,-88.03541285,-74.86836915,-25.19216817,31.3670483,-179.0445908,-169.4642885,-164.775553,-179.8259043,-179.9908243,-179.8184203
c21_0675_max,67.73790738,45.95927505,-31.8371252,-12.39347993,41.95055202,85.05153229,179.7978095,176.6903172,-86.03627117,179.8535835,179.9435162,178.7965159
c21_0676_min,14.16312647,-41.57969963,-82.11107032,-77.27913695,-26.44866619,31.48505429,-179.9258754,-179.9839398,-179.7822341,-179.754603,-178.1221696,-179.9612698
c21_0676_max,85.94239228,41.64295891,-42.76831456,0.138040013,43.81735369,86.43408336,179.6846843,179.7168542,179.831269,179.9534234,179.9904682,179.3925594
c21_0677_min,12.25960498029329,-43.6461532151111,-85.62867024527947,-82.95358831265895,-32.55556253919016,23.41888919882101,-179.78315772042097,-179.90455153512175,-179.97764552952748,-179.92107280704204,-179.97112258496838,-179.7816722814084
c21_0677_max,80.89840908831718,41.9279141562489,-40.39612835551748,-13.113556105715446,52.91356128544663,80.17223684958049,179.9492647823256,179.74227879698466,179.97769817619806,179.98697513893129,179.13954423848483,179.94260859576477
c21_0678_min,1.392183832,-43.69970826,-82.58064214,-77.92844535,-24.78026366,34.16626858,-179.901542,-179.4783512,-179.6186309,-179.681442,-179.4089318,-179.8988527
c21_0678_max,77.1523198,39.15842979,-34.56393466,-8.768174224,45.38398994,85.14174695,179.9566166,179.7184766,179.8592586,179.972696,179.9537018,179.934691
c21_0679_min,14.55021681,-45.81025006,-74.71852458,-81.15333973,-23.05268689,30.37222233,-179.0354648,-144.7571285,-179.8807952,-178.60518,-175.8959517,-179.3297686
c21_0679_max,60.29441302,37.24366291,-37.07332381,-15.7561265,48.70792488,85.64228326,178.5369629,177.8051578,179.2067583,178.7771954,178.8756497,179.7529852
c21_0680_min,7.539365656,-45.23834479,-81.81929711,-77.63816212,-24.83962246,35.06686378,-179.9556276,-179.899576,-179.8895298,-179.8697611,-179.2728856,-179.9812826
c21_0680_max,83.84035976,35.54396189,-40.9747473,-12.81709757,39.22563291,78.74887354,179.8188647,178.7039831,179.9902976,179.9844677,179.9483498,179.94343
min,-37.81225091,-63.67221723217239,-102.9191668,-106.1646953,-45.49651574,14.87632962,-179.991107,-179.9988194,-179.9951537,-179.994054,-179.99451678064517,-179.9999513
max,93.04591101,51.73118042,-11.53317019,42.38695632,61.55778209,111.9721608,179.9991277,179.9382255,179.99643473441174,179.9929781,179.9904682,179.9957916
