,Heading_direction
0,328.4222283877186
1,327.60648525142625
2,327.59320874437407
3,327.39614365062346
4,327.3371963508315
5,327.2592908589245
6,326.89987011808614
7,326.6849343290049
8,326.5215343878425
9,326.75748770224334
10,327.0432450066875
11,327.1368325640119
12,327.1569096430391
13,326.80270396624337
14,326.8499328459932
15,327.6880160611389
16,327.8204459563624
17,328.1420379305697
18,328.7351547136796
19,328.761382364928
20,328.7428545444291
21,328.857815655972
22,328.756563704074
23,328.8965093839693
24,328.7385239193993
25,328.91404888083
26,328.7526473069064
27,328.5946841458004
28,328.53052754611537
29,328.26004608674344
30,328.53036406860406
31,328.42362687916716
32,327.8274538310783
33,327.8624490341191
34,327.84887596317293
35,327.0509028716061
36,327.2044531505377
37,327.01398720449686
38,326.7981222492537
39,327.4185249989057
40,327.4052909414311
41,327.4855006910256
42,327.33189323559105
43,327.2237827887476
44,327.272829307332
45,327.0829189733491
46,327.103731569713
47,326.53257383150066
48,327.63091726430804
49,327.55666186988543
50,327.6985008299549
51,327.26640486424924
52,326.6029602758318
53,326.5827482389163
54,327.0256373841442
55,327.3793408875383
56,327.17355826706233
57,327.4131946742721
58,327.74047929091
59,327.70833259062783
60,328.0641308826167
61,328.09930224054
62,328.027233850243
63,327.7378192913835
64,327.6251116435312
65,327.5720782104678
66,327.6717500341067
67,327.6384069284902
68,327.39021934245
69,327.60976069258066
70,327.6287453951106
71,327.61422291953426
72,327.82720260448184
73,327.8733280623758
74,327.9430566662592
75,327.85084521227765
76,327.93027655377716
77,327.28761663023533
78,327.6096998047102
79,328.0534844280287
80,327.986461835246
81,328.4148549371714
82,328.54044925006815
83,328.6735021083883
84,328.6459910282126
85,328.68073907213494
86,328.47035052124585
87,327.9925110468888
88,328.1307380659
89,328.1181109316749
90,328.1637234096422
91,328.3942397775498
92,328.06144413594654
93,327.1777792969286
94,327.30277341067807
95,327.1632269121882
96,327.3283650515876
97,327.44025970654843
98,327.5372991858465
99,327.5832522474331
100,328.0804327286771
101,328.1565079401903
102,327.4496373197327
103,327.52522732933994
104,327.64602172284447
105,327.79977666328807
106,328.03493210370567
107,327.7750665835572
108,328.35677460593666
109,328.3045175193809
110,328.1553430995586
111,328.1614999836921
112,328.34903543480885
113,328.25583115128023
114,328.4250750076504
115,328.3842198981355
116,328.11097846930966
117,327.8349836133869
118,328.12567734957986
119,328.1170833501101
120,327.7832627618598
121,327.9935373266213
122,327.9816990271544
123,327.7113847972475
124,327.8562468049527
125,327.9007314934681
