,ThC_LF,ThC_LM,ThC_LH,ThC_RF,ThC_RM,ThC_RH,FTi_LF,FTi_LM,FTi_LH,FTi_RF,FTi_RM,FTi_RH
c16_0495_min,-9.240523928204624,-42.81245848937328,-84.38860734537627,-78.15630274430737,-20.94145143704196,33.88052543385351,-177.48501027296288,-115.36203408254886,-119.42129645763607,-179.91324685836997,-120.97975979130086,30.55508131588296
c16_0495_max,47.820282690145575,44.17955875338137,-26.49132105534551,22.09290998447773,55.52416634762005,83.35977510450272,177.9674322466594,15.66005353152802,-35.37566224763367,179.86791064773445,6.113635716678829,144.72200864146686
c16_0496_min,-23.964213735896664,-30.8709952659394,-67.42070644409762,-103.61789821954557,-21.12234266166857,35.767227139279555,-179.96275738678133,-132.039476859581,-118.86435766279504,-179.9781471073378,-140.84388941363304,36.89104108285761
c16_0496_max,37.922078385563,18.13215988607317,-28.58870931764176,-6.254644381664548,41.798181205694135,76.93180127200122,179.8042177929953,22.142153259568246,-35.253074586821015,179.9954041148943,10.758705685625388,143.16674667811165
c16_0497_min,-11.118302647849164,-50.024780227100905,-79.31705809098105,-62.55148613230256,-23.84585652095524,36.86325903469364,-179.99409368341463,-164.69595006939667,-138.56916294552985,-179.45661352354145,-143.9964351526997,33.34993676344848
c16_0497_max,57.35566399436502,29.290850766524954,-32.34789175321262,4.427502045896176,37.45469928267028,70.88278106654633,179.29821842934268,26.92310972784776,-39.68667951704404,179.20334563983982,-7.484234286850736,129.11124995007003
c16_0498_min,-37.81225090736845,-47.97146045131696,-74.75461670888276,-106.16469534836348,-24.04105546382601,25.897093403994347,-179.99532887474567,-108.56450023190484,-141.90818641469548,-179.7158059500568,-153.64772395539927,32.48661267778272
c16_0498_max,43.92757630587204,27.41710344196696,-11.53317018601298,42.386956315558166,53.57720849171784,82.36255939028354,179.9902403573114,77.97246476870953,-30.55176741633619,179.9807280098108,91.96690257015098,147.67051981260474
c16_0499_min,7.70078714062015,-57.60689467094167,-76.82104021388338,-79.79953990359866,-29.692933684631072,31.503185936227798,-179.9860861771141,-175.66625430751753,-145.74891970240145,-179.91286660501464,-115.011016358316,36.63796270141816
c16_0499_max,66.91680369547754,39.22839472517305,-24.247374216475208,0.4845954812330717,45.949673085332506,75.3521977270724,179.83955873386844,175.58729369277702,-44.95556078723118,179.74502258781786,6.330879428773443,170.5012786886889
c16_0500_min,-4.9165998684487136,-58.54556397822384,-74.31647384836936,-86.84307757781119,-25.089698332887423,29.037368845786432,-179.53147323133692,-143.63879300860253,-144.52257339494386,-179.68160148005396,-135.71211181806586,42.88258901409552
c16_0500_max,58.69133315591751,25.959992418974025,-29.44133017293385,4.699201857096085,40.573094042514185,71.77437862423054,179.67145572807283,15.3233376482155,-49.35786446974001,179.93078973625603,12.213389076184969,158.7252726362289
c17_0522_min,-8.908450744973663,-58.63340974855993,-78.36362824853427,-88.35145343925754,-37.95292334302587,47.32882331837189,-179.89111084627388,-127.09758502927988,-168.98679432926272,-179.7190452031549,-179.65533318561694,17.77040196746799
c17_0522_max,79.87847618452719,35.50040887946591,-47.77578674203906,10.02103368619504,52.14811911800601,81.62976431186453,179.99389694533696,171.7989748187415,-26.904135061757927,179.48750908594997,179.26346087851965,154.05713345512606
c17_0523_min,-17.06846204454149,-52.61685040861511,-79.33017006406192,-92.06301955055824,-35.19117448054783,37.24443557989795,-179.85845179050483,-101.334383723424,-171.68418102385334,-179.97543302963174,-173.11923966546266,32.47954823860027
c17_0523_max,74.94511378899693,29.294112302482176,-48.05654824328428,8.16752055649303,54.53366860077219,77.83415306707994,178.25104754155947,9.958178038684764,-29.701980870774378,179.6193567671421,176.9182980147192,158.11521845271608
c17_0524_min,-12.137161513706928,-48.62946754138585,-77.66913772324483,-89.43771098542732,-35.978810100047326,46.11912567640104,-173.69013959845392,-131.17880548271214,-168.52125427361972,-179.8392326002327,-179.95032768828912,25.32893170737012
c17_0524_max,72.12048496345858,38.73372488796761,-49.4502314038489,12.2608023675555,58.71110209932337,87.7307818241242,179.7710709695749,-1.024229113376066,-21.11788333532684,179.71572390918354,179.11122211088104,155.193798236034
c17_0525_min,-5.961271820941846,-48.94982204904181,-82.66838241465331,-80.14125501290465,-45.49651573861189,40.07213689642282,-178.02781300996298,-149.69068432599198,-161.6835842418999,-179.869208919298,-85.10839673567361,23.899419962508105
c17_0525_max,87.88652184208695,41.52181792195253,-30.712355584720825,17.75032866731283,58.9749917408169,88.36554296053572,167.42320875458594,153.40537729285677,-23.40138230186824,179.78973922708246,170.38527223790214,161.86858203530747
c17_0526_min,-0.6677457565051554,-48.923828374003335,-78.12008882481689,-79.98058866424037,-35.98072148667839,49.51221937172835,-179.7689080787797,-167.3872564527652,-172.36792731998423,-179.96325933951388,-179.82226958384538,26.1566323605401
c17_0526_max,78.32148566083299,39.64591050190037,-43.00536127492515,-0.5520344928360714,44.68670101773296,83.82849519673255,179.63029170319214,167.22469949982346,-35.02958316410118,179.87507792441534,179.78365226716474,154.5207880127644
c18_0558_min,22.602956507123707,-63.67221723217239,-81.21413961815699,-86.81534059186976,-35.98970625057402,25.619903501083627,-179.60572231895847,-176.23124314703233,-141.04635757674976,-179.8568684859349,-179.61593160917684,26.73892344190466
c18_0558_max,77.8758351265489,42.21033082962521,-35.58508565819756,-3.84570927367227,52.44528151869514,75.44440856528163,178.058497697095,177.2869853528806,-28.028156436492736,179.91146008907018,179.6020405948924,134.17448894957334
c18_0559_min,30.37875806352716,-49.035870321267794,-82.0738898146372,-76.703682812507,-26.2672277979124,28.27950073565745,-169.9960621648833,-164.5864003493055,-138.8712323185366,-173.36237784678093,-179.1524885059305,26.5409688211775
c18_0559_max,92.43880762710928,42.57944083145276,-42.6021256215605,0.0300747178078211,58.37476284049404,65.61543465530917,177.8041822850184,174.9562780860086,-39.15632681895488,178.58092032589428,179.85033294230018,133.0466986174034
