,Heading_direction
0,71.81725404693128
1,71.73602035262991
2,71.67600055310572
3,72.19904921035715
4,71.77310731815703
5,71.66987237397132
6,71.55092690483707
7,71.92376262285393
8,71.921259691324
9,71.99756865812196
10,71.93080666164417
11,71.91216422695823
12,71.9150562046961
13,72.01061803082058
14,71.7728142604484
15,71.92548957287033
16,72.23190611934086
17,72.20680969793614
18,72.23539523802555
19,71.85691250473405
20,71.8009681037243
21,71.44188754916934
22,71.55731302802008
23,71.89189891686863
24,71.89290409461756
25,71.4873127804351
26,71.46309700526609
27,71.16951223856694
28,71.20372825001846
29,71.62210671092686
30,72.4649229578186
31,72.84729165599498
32,72.36074505086384
33,73.0707381124106
34,74.79592337299493
35,75.94275160142911
36,80.73384801418166
37,83.16720544601236
38,83.8675467689277
39,86.00442097892062
40,88.17498173471722
41,90.0620303009672
42,92.82490486325992
43,96.00266744767578
44,97.51801078798701
45,98.16233041061633
46,101.17525368220271
47,104.33149684898987
48,106.53128125781336
49,108.10940521688576
50,108.37564809068655
51,108.62049453126775
52,109.50153349656816
53,111.25915621000092
54,112.01415248869739
55,112.64441165607133
56,112.92648787773217
57,114.0425983020539
58,115.30996843292081
59,116.27391719524951
60,116.60708229125223
61,116.50672622489304
62,116.94251504896951
63,117.1904049074796
64,118.27454055533391
65,119.17370713046031
66,120.56339824628012
67,122.31780277011401
68,124.42931071529196
69,126.52071907581995
70,127.6904770667694
71,129.1812811647389
72,129.9544684977948
73,132.953782591655
74,134.85082834746396
75,135.4650070475823
76,136.1128222699096
77,137.23934724762432
78,137.8866265393283
79,138.6979160155358
80,139.03094823733073
81,139.04020496673695
82,139.6875906326843
83,140.98177429687252
84,142.51723633189428
85,142.4901408334997
86,143.01086052745248
87,144.0777019702408
88,145.21731168915431
89,146.14971758017717
90,146.9979189227512
91,147.7994806994843
92,147.82664183963993
93,147.994174264014
94,148.37870403508012
95,148.41502176417316
96,149.4371044929712
97,151.2390335188424
98,153.4367065778571
99,156.7998440840689
100,158.9861786928952
101,159.54424285377667
102,158.398255204348
103,158.1804158117871
104,160.76829383702577
105,160.76150897051195
106,160.2862654105153
107,158.99274479525616
108,159.4879379957908
109,159.43911443611677
110,159.79946948036525
111,158.3935432684003
112,158.6155035451488
113,158.79869807779096
114,157.76629336959135
115,159.4286593136422
116,157.4184123869095
117,154.3896824509742
118,151.9047787697411
119,150.43576194428817
120,149.2840608211384
121,148.391420214272
122,147.30502393611
123,146.84478201264213
124,148.01602415274257
125,147.71189043020445
126,148.34058713705997
127,148.3687140513923
