L1.Sup,L2.Sup,L3.Sup,R1.Sup,R2.Sup,R3.Sup,L1.CTr,L2.CTr,L3.CTr,R1.CTr,R2.CTr,R3.CTr,L1.ThC,L2.ThC,L3.ThC,R1.ThC,R2.ThC,R3.ThC,L1.FTi,L2.FTi,L3.FTi,R1.FTi,R2.FTi,R3.FTi
5.246922531,1.370503464,-13.47666557,10.51896168,-11.76556099,8.883523389,-13.82200905,-1.90818132,1.19172019,11.36427728,9.45714954,35.36024456,44.35462724,-9.745254577,-59.2329203,46.66978455,-34.98305924,-26.09096,145.6753607,102.6874517,146.5493815,91.05761247,113.0809979,65.14700058
5.946787109,1.043609935,-14.26140437,10.7193814,-11.62242787,8.914377724,-13.85123514,-1.9305016,1.33146348,11.1193126,9.1834105,35.45938637,45.07060803,-9.839554938,-59.22220143,45.27514177,-35.08682837,-26.21392919,145.9032345,102.3520053,147.1894821,90.90714295,113.6514052,65.39642368
6.517367494,0.731551902,-14.84963558,10.88902691,-11.47503028,8.948105867,-12.09011868,-1.93651447,1.54966489,10.88339935,8.923437254,35.53091252,45.63419277,-9.936294,-59.20558672,44.12107907,-35.16596374,-26.31988141,144.0799898,102.0569665,147.8281829,90.78557645,114.2171133,65.642171
6.845509403,0.45226192,-15.11895117,10.99985328,-11.32550774,8.986279719,-11.37928183,-1.91631238,1.87355425,10.66214906,8.708572143,35.55341672,45.91877672,-10.04168002,-59.17799249,43.39667194,-35.20441479,-26.39547248,143.4596028,101.8339453,148.4692077,90.70378346,114.7642245,65.87956231
6.898765575,0.217949629,-15.06462449,11.03623416,-11.18792662,9.028981545,-10.88036405,-1.86914813,2.2938784,10.45348243,8.562214472,35.5125359,45.86018882,-10.16647381,-59.13161125,43.17811519,-35.20145845,-26.43367096,142.9612213,101.6976627,149.0977779,90.66526683,115.3263858,66.10994321
6.732500496,0.032033367,-14.80401216,10.99813181,-11.0892624,9.075230044,-10.52016529,-1.80363569,2.77854319,10.25156555,8.48927026,35.40490571,45.46830715,-10.32158903,-59.05501291,43.41827096,-35.17414315,-26.43671767,142.4990328,101.6450929,149.6739931,90.66521036,115.9990079,66.33959801
6.461978375,-0.112146859,-14.53276036,10.89891418,-11.06250462,9.123952795,-10.28650884,-1.73418099,3.29903946,10.05553035,8.473154606,35.24019263,44.81740042,-10.5117292,-58.93687124,43.97458848,-35.15340694,-26.41680679,142.083863,101.6583859,150.1340931,90.68789796,116.9178503,66.57671141
6.217542209,-0.230585405,-14.43814778,10.76029837,-11.13407842,9.174600365,-10.17545497,-1.67504576,3.85659147,9.87694443,8.48281724,35.0392395,44.02064494,-10.73104804,-58.76997955,44.65980964,-35.17418053,-26.39277019,141.7476368,101.709075,150.3998078,90.70657609,118.2039474,66.82882789
6.103759527,-0.345760956,-14.60104165,10.60769932,-11.31040605,9.226761061,-10.17089625,-1.63472827,4.49532273,9.73967963,8.4840852,34.82808668,43.19938426,-10.9637278,-58.55222174,45.2952838,-35.26235976,-26.38327681,141.5056249,101.7627414,150.3940724,90.68980161,119.8982789,67.10220498
6.173824668,-0.481828822,-14.93807179,10.4671578,-11.56895969,9.278983551,-10.23659857,-1.61338865,5.29388564,9.67023764,8.44915163,34.62958551,42.45722667,-11.18957279,-58.28494942,45.75110006,-35.42340211,-26.39954232,141.3362771,101.7851703,150.0628496,90.61363434,121.9197633,67.40263793
6.420910866,-0.65865406,-15.22504505,10.36241434,-11.85787567,9.327838473,-10.31902407,-1.604408,6.33391833,9.68411227,8.3626052,34.45577846,41.86273673,-11.39200989,-57.96951601,45.96730647,-35.63742192,-26.44138846,141.1804829,101.7503633,149.400204,90.47245959,124.0747672,67.73600692
