LF_sup_x,LF_sup_y,LF_sup_z,LM_sup_x,LM_sup_y,LM_sup_z,LH_sup_x,LH_sup_y,LH_sup_z,RF_sup_x,RF_sup_y,RF_sup_z,RM_sup_x,RM_sup_y,RM_sup_z,RH_sup_x,RH_sup_y,RH_sup_z,LF_CTr_x,LF_CTr_y,LF_CTr_z,LM_CTr_x,LM_CTr_y,LM_CTr_z,LH_CTr_x,LH_CTr_y,LH_CTr_z,RF_CTr_x,RF_CTr_y,RF_CTr_z,RM_CTr_x,RM_CTr_y,RM_CTr_z,RH_CTr_x,RH_CTr_y,RH_CTr_z,LF_ThC_x,LF_ThC_y,LF_ThC_z,LM_ThC_x,LM_ThC_y,LM_ThC_z,LH_ThC_x,LH_ThC_y,LH_ThC_z,RF_ThC_x,RF_ThC_y,RF_ThC_z,RM_ThC_x,RM_ThC_y,RM_ThC_z,RH_ThC_x,RH_ThC_y,RH_ThC_z,LF_FTi_x,LF_FTi_y,LF_FTi_z,LM_FTi_x,LM_FTi_y,LM_FTi_z,LH_FTi_x,LH_FTi_y,LH_FTi_z,RF_FTi_x,RF_FTi_y,RF_FTi_z,RM_FTi_x,RM_FTi_y,RM_FTi_z,RH_FTi_x,RH_FTi_y,RH_FTi_z
-0.186552867,-13.80564642,-37.56691888,-2.65621053,-0.009822929,2.00946436,2.433793688,7.775920495,28.30937615,-1.031198634,-2.629331139,22.09504747,-0.296686018,0.739558814,-7.717287406,-4.801178817,-2.130346044,-9.930072051,3.961737148,-4.997327308,-37.30795897,-2.140623469,0.329061279,1.704431344,9.20572739,3.361205711,25.99947825,-5.188775291,-3.856728584,19.91431024,-1.370519858,1.247976451,-6.767632137,-5.672639827,0.881681439,-8.463652943,3.961737148,-4.997327308,-37.30795897,-2.140623469,0.329061279,1.704431344,9.20572739,3.361205711,25.99947825,-5.188775291,-3.856728584,19.91431024,-1.370519858,1.247976451,-6.767632137,-5.672639827,0.881681439,-8.463652943,2.124976707,-8.295930962,-0.000788774,0.201984694,0.336381579,0.000166273,3.269834117,6.136633861,0.000899404,-0.674897056,-3.856977904,0.001463565,-0.623809846,1.400296207,-0.000572348,0.362012872,0.970202543,-0.000524448
3.762493725,-12.06250842,-23.09042921,-4.70975084,0.16452939,3.35928989,5.050925836,9.02679834,14.29325544,-1.481005434,-2.095093085,10.81019577,-1.458252226,1.26326796,-5.111273185,-3.85733877,-1.254355363,-6.606435417,7.389428792,-3.192510751,-23.54550929,-3.932477582,0.796584574,2.958706539,10.74610204,1.544367756,12.87179872,-3.762660231,-1.816028455,9.670812687,-2.338166353,0.751902885,-4.313587535,-4.392140577,0.419473711,-5.515752185,7.389428792,-3.192510751,-23.54550929,-3.932477582,0.796584574,2.958706539,10.74610204,1.544367756,12.87179872,-3.762660231,-1.816028455,9.670812687,-2.338166353,0.751902885,-4.313587535,-4.392140577,0.419473711,-5.515752185,1.719763795,-5.309566446,-0.000540084,-0.263949366,0.808871172,0.000238856,3.271858511,2.840345919,0.000860111,-0.218723125,-1.816094535,0.00060275,-1.392345359,0.847195659,-0.000520067,-0.548650873,0.465917029,-0.000358997
7.490539694,-3.746698141,8.500886628,-5.243617756,0.372239265,3.791096654,6.288998102,6.401184811,-12.57898883,-1.089216168,-0.223471011,-8.184559722,-2.584269516,1.543471817,0.717654177,-0.528250443,0.344775786,0.724317959,8.59361943,0.917431972,7.245084874,-4.475566734,1.097293527,3.431072891,7.632952641,-1.805164817,-12.08246614,0.113530444,1.555956068,-7.491128527,-2.823628501,-0.263533198,0.98970845,-0.398666564,-0.33181963,0.771045528,8.59361943,0.917431972,7.245084874,-4.475566734,1.097293527,3.431072891,7.632952641,-1.805164817,-12.08246614,0.113530444,1.555956068,-7.491128527,-2.823628501,-0.263533198,0.98970845,-0.398666564,-0.33181963,0.771045528,0.23785297,1.526728827,2.94E-05,-0.770905949,1.111265148,0.000236624,1.646279693,-3.286741279,0.000561308,0.472589372,1.555942444,-0.000719768,-1.928513035,-0.289957528,-0.000218063,-1.571699346,-0.358448276,3.09E-06
8.163978445,7.110814435,39.44938605,-3.364207367,0.549498304,2.996606074,5.451999918,1.534007468,-36.55020634,-0.104681325,1.712714775,-21.86959883,-3.047336715,1.469026534,6.06739323,3.605679123,1.378003472,7.256645613,5.882759528,5.065575347,37.86624228,-2.936031224,1.018687289,2.795327584,1.624666446,-4.728482677,-34.23751549,3.821320148,3.912280649,-19.85865794,-2.620581065,-1.144839041,5.794837261,4.249981629,-0.825448208,6.136523117,5.882759528,5.065575347,37.86624228,-2.936031224,1.018687289,2.795327584,1.624666446,-4.728482677,-34.23751549,3.821320148,3.912280649,-19.85865794,-2.620581065,-1.144839041,5.794837261,4.249981629,-0.825448208,6.136523117,-1.474125639,8.426633592,0.000668534,-0.931031625,1.029847683,0.000174079,-0.651596142,-8.69209485,0.000326565,0.881397491,3.912423899,-0.001562769,-1.968829601,-1.284970726,0.000134155,-2.002994236,-0.903365667,0.000302577
5.181985829,14.56994614,52.40360159,0.002735924,0.637167218,1.495903697,3.314031155,-2.312594767,-43.93627161,0.878826581,2.457454197,-20.94181109,-2.791796586,1.226084907,7.531490509,6.290452996,0.959621074,8.714686395,0.441477333,6.980462905,51.08818129,-0.051687818,0.611848729,1.473284419,-3.366364784,-5.5974296,-40.88303801,4.894301101,3.6437109,-19.04395391,-2.125331113,-1.335285483,7.072182442,6.912349255,-0.701416754,6.960736528,0.441477333,6.980462905,51.08818129,-0.051687818,0.611848729,1.473284419,-3.366364784,-5.5974296,-40.88303801,4.894301101,3.6437109,-19.04395391,-2.125331113,-1.335285483,7.072182442,6.912349255,-0.701416754,6.960736528,-2.496876788,11.51467872,0.00109598,-0.606743569,0.617655284,0.000101657,-2.251221892,-10.30565619,0.000389447,0.72853113,3.64379797,-0.001322021,-1.617381492,-1.511286981,0.000299886,-1.545160835,-0.771540136,0.000332964
0.260912219,14.67965128,40.77333706,2.854658701,0.640469894,0.354761845,1.461435502,-2.779764192,-31.46178182,1.260208251,1.496953299,-5.604460985,-2.21890873,1.118504672,4.142098695,6.187727752,-0.805565767,4.093458865,-4.582497769,5.638323227,40.12133074,2.470668622,0.166399978,0.40813026,-4.044182854,-4.081323509,-29.1258271,2.646926694,0.861826366,-5.225247942,-1.917127049,-0.723547156,4.008073866,6.223260545,0.002470046,2.57944451,-4.582497769,5.638323227,40.12133074,2.470668622,0.166399978,0.40813026,-4.044182854,-4.081323509,-29.1258271,2.646926694,0.861826366,-5.225247942,-1.917127049,-0.723547156,4.008073866,6.223260545,0.002470046,2.57944451,-2.348004189,9.177485748,0.001091578,0.008382054,0.168376141,7.42E-05,-2.253249415,-7.469590537,0.000793726,0.115510362,0.861601995,-0.000112352,-1.250269776,-0.826189887,0.000172121,-0.528979834,-0.004719904,5.72E-05
-3.613606394,7.783511003,12.37626629,3.506866536,0.622212867,0.465770487,1.207041343,0.033815046,-8.054318157,0.84939358,-0.546351404,14.53579821,-1.847113258,1.311403858,-1.91579758,3.729725043,-2.894620198,-3.700387322,-6.149322846,1.872255137,12.47736748,3.146036503,0.011235935,0.427448865,-0.100154349,-1.290252551,-7.496694191,-1.377498722,-2.693534524,12.94893981,-2.285396206,0.279718733,-1.39658735,2.980153189,0.881824864,-4.303155719,-6.149322846,1.872255137,12.47736748,3.146036503,0.011235935,0.427448865,-0.100154349,-1.290252551,-7.496694191,-1.377498722,-2.693534524,12.94893981,-2.285396206,0.279718733,-1.39658735,2.980153189,0.881824864,-4.303155719,-1.225636854,3.011272991,0.000637096,0.524262331,0.013783031,0.000116458,-0.829230477,-2.305937039,0.001396329,-0.535256901,-2.693949542,0.001311117,-1.231865521,0.322737012,-0.000160531,0.306671677,0.952891629,-0.000376251
-3.944846581,-2.029337183,-15.64307257,1.562125082,0.642098533,1.967412426,2.793610177,4.143340338,10.87675629,0.018728503,-2.242277971,26.59618646,-2.029068899,1.727885071,-6.646644462,0.695174286,-4.057243697,-9.727804118,-3.22803099,-2.062756174,-15.09891638,1.568034586,0.295971524,1.702416161,5.758567931,0.906707847,9.687610328,-4.494132919,-4.746487462,23.89780522,-3.103586327,1.001019925,-5.558820373,-0.540061941,1.407217108,-9.358147072,-3.22803099,-2.062756174,-15.09891638,1.568034586,0.295971524,1.702416161,5.758567931,0.906707847,9.687610328,-4.494132919,-4.746487462,23.89780522,-3.103586327,1.001019925,-5.558820373,-0.540061941,1.407217108,-9.358147072,0.120691129,-3.272904204,3.39E-05,0.607468761,0.303408201,0.000208933,0.883699062,1.695606341,0.001932976,-0.712657627,-4.747027839,0.002038364,-1.653934748,1.165102133,-0.00048433,0.339923562,1.524863042,-0.000707984
-0.354348739,-9.247656167,-26.84835602,-1.872402017,0.717493657,4.165005643,5.189789679,7.055227523,13.03139295,-0.661643154,-2.402884549,22.81077708,-2.737224782,2.129780789,-6.856728847,-0.976850668,-3.585068374,-10.15574829,2.596937898,-3.823436686,-26.52470239,-1.362249276,0.894029275,3.646500725,9.603776135,1.008866939,11.30936242,-4.702657463,-3.942233689,20.62031889,-3.932492854,0.945362823,-5.657746248,-2.096669027,1.252596387,-9.36501695,2.596937898,-3.823436686,-26.52470239,-1.362249276,0.894029275,3.646500725,9.603776135,1.008866939,11.30936242,-4.702657463,-3.942233689,20.62031889,-3.932492854,0.945362823,-5.657746248,-2.096669027,1.252596387,-9.36501695,0.871276748,-6.052440702,-0.000290905,0.203106974,0.908397992,0.00030194,1.5264408,1.869099571,0.002171029,-0.20073173,-3.94335943,0.001591882,-2.265448367,1.11262059,-0.00059775,-0.498961879,1.358679603,-0.000721463
5.057941638,-9.782614513,-14.78744357,-4.671991277,0.839453241,5.916737835,6.677353196,6.958913505,-3.258191601,-0.905579634,-0.986948205,5.470269231,-3.492883705,2.242232957,-2.162818141,-0.312532609,-1.718392641,-4.660473328,8.009827445,-2.381904586,-15.29669859,-3.820260514,1.472682699,5.243627263,8.520961799,-1.184632837,-3.839858998,-1.969296023,-0.734412002,5.09483838,-4.190108313,0.109219407,-1.413103995,-0.780739982,0.514773302,-4.233771121,8.009827445,-2.381904586,-15.29669859,-3.820260514,1.472682699,5.243627263,8.520961799,-1.184632837,-3.839858998,-1.969296023,-0.734412002,5.09483838,-4.190108313,0.109219407,-1.413103995,-0.780739982,0.514773302,-4.233771121,0.669184388,-3.766158971,-0.000140022,-0.415667173,1.492721265,0.000349318,0.401899614,-2.028202702,0.002071985,0.698287944,-0.736574898,0.000232911,-2.627367847,0.138120197,-0.000433888,-1.68798644,0.559093114,-0.000396484
