LF_sup_y,LM_sup_y,LH_sup_y,RF_sup_y,RM_sup_y,RH_sup_y,LF_CTr_x,LM_CTr_x,LH_CTr_x,RF_CTr_x,RM_CTr_x,RH_CTr_x,LF_ThC_z,LM_ThC_z,LH_ThC_z,RF_ThC_z,RM_ThC_z,RH_ThC_z,LF_FTi_x,LM_FTi_x,LH_FTi_x,RF_FTi_x,RM_FTi_x,RH_FTi_x
-13.80564642,-0.009822929,7.775920495,-2.629331139,0.739558814,-2.130346044,3.961737148,-2.140623469,9.20572739,-5.188775291,-1.370519858,-5.672639827,-37.30795897,1.704431344,25.99947825,19.91431024,-6.767632137,-8.463652943,2.124976707,0.201984694,3.269834117,-0.674897056,-0.623809846,0.362012872
-12.06250842,0.16452939,9.02679834,-2.095093085,1.26326796,-1.254355363,7.389428792,-3.932477582,10.74610204,-3.762660231,-2.338166353,-4.392140577,-23.54550929,2.958706539,12.87179872,9.670812687,-4.313587535,-5.515752185,1.719763795,-0.263949366,3.271858511,-0.218723125,-1.392345359,-0.548650873
-3.746698141,0.372239265,6.401184811,-0.223471011,1.543471817,0.344775786,8.59361943,-4.475566734,7.632952641,0.113530444,-2.823628501,-0.398666564,7.245084874,3.431072891,-12.08246614,-7.491128527,0.98970845,0.771045528,0.23785297,-0.770905949,1.646279693,0.472589372,-1.928513035,-1.571699346
7.110814435,0.549498304,1.534007468,1.712714775,1.469026534,1.378003472,5.882759528,-2.936031224,1.624666446,3.821320148,-2.620581065,4.249981629,37.86624228,2.795327584,-34.23751549,-19.85865794,5.794837261,6.136523117,-1.474125639,-0.931031625,-0.651596142,0.881397491,-1.968829601,-2.002994236
14.56994614,0.637167218,-2.312594767,2.457454197,1.226084907,0.959621074,0.441477333,-0.051687818,-3.366364784,4.894301101,-2.125331113,6.912349255,51.08818129,1.473284419,-40.88303801,-19.04395391,7.072182442,6.960736528,-2.496876788,-0.606743569,-2.251221892,0.72853113,-1.617381492,-1.545160835
14.67965128,0.640469894,-2.779764192,1.496953299,1.118504672,-0.805565767,-4.582497769,2.470668622,-4.044182854,2.646926694,-1.917127049,6.223260545,40.12133074,0.40813026,-29.1258271,-5.225247942,4.008073866,2.57944451,-2.348004189,0.008382054,-2.253249415,0.115510362,-1.250269776,-0.528979834
7.783511003,0.622212867,0.033815046,-0.546351404,1.311403858,-2.894620198,-6.149322846,3.146036503,-0.100154349,-1.377498722,-2.285396206,2.980153189,12.47736748,0.427448865,-7.496694191,12.94893981,-1.39658735,-4.303155719,-1.225636854,0.524262331,-0.829230477,-0.535256901,-1.231865521,0.306671677
-2.029337183,0.642098533,4.143340338,-2.242277971,1.727885071,-4.057243697,-3.22803099,1.568034586,5.758567931,-4.494132919,-3.103586327,-0.540061941,-15.09891638,1.702416161,9.687610328,23.89780522,-5.558820373,-9.358147072,0.120691129,0.607468761,0.883699062,-0.712657627,-1.653934748,0.339923562
-9.247656167,0.717493657,7.055227523,-2.402884549,2.129780789,-3.585068374,2.596937898,-1.362249276,9.603776135,-4.702657463,-3.932492854,-2.096669027,-26.52470239,3.646500725,11.30936242,20.62031889,-5.657746248,-9.36501695,0.871276748,0.203106974,1.5264408,-0.20073173,-2.265448367,-0.498961879
-9.782614513,0.839453241,6.958913505,-0.986948205,2.242232957,-1.718392641,8.009827445,-3.820260514,8.520961799,-1.969296023,-4.190108313,-0.780739982,-15.29669859,5.243627263,-3.839858998,5.09483838,-1.413103995,-4.233771121,0.669184388,-0.415667173,0.401899614,0.698287944,-2.627367847,-1.68798644
-3.383209806,1.002273955,3.796439598,0.933029999,1.872129691,0.445194459,9.807844359,-4.08273205,2.492834544,1.793637675,-3.469286141,2.505379698,11.66886362,5.644128993,-26.46399868,-13.24017564,4.841429223,2.879684925,-0.224496008,-0.820086429,-2.060952429,1.395142335,-2.404852358,-2.463952338
5.966980085,1.20151214,-0.508364614,1.992953137,1.059130921,1.572141073,6.809790068,-1.745653399,-5.168104474,4.009585379,-1.917372784,5.597966266,37.78299635,4.73714833,-42.67910967,-23.45338974,9.622076014,7.499267562,-1.218811763,-0.714537419,-4.559633272,1.474974763,-1.617547683,-2.328609091
12.55291804,1.413835275,-3.483459164,1.47147985,0.14603917,0.985304635,0.737572712,1.885955071,-9.871839057,3.220168795,-0.274186896,6.452827436,47.05040113,3.26662927,-42.95663543,-19.65671344,10.40630348,6.68774528,-1.796208242,-0.136750562,-5.756928822,0.944321318,-0.658998963,-1.39405408
12.6205909,1.598646286,-3.944656254,-0.234918451,-0.413449812,-0.874402001,-4.764426041,4.687825311,-9.056393383,0.106189313,0.604925234,4.526254282,34.23073939,2.337112488,-28.14277474,-4.526157691,7.262588887,0.936392556,-1.763529792,0.57328567,-5.167953594,0.180786109,-0.043932932,-0.313772893
6.478173968,1.711133865,-2.279036077,-1.893052782,-0.373120942,-2.832840957,-6.500841947,5.077940424,-3.825569321,-3.08279693,0.314603363,1.119592091,7.581243716,2.692399446,-8.446965414,12.27512817,2.860521996,-6.227069224,-1.299785035,0.999363832,-3.465575488,-0.268476491,-0.069250362,0.177134897
-1.980910983,1.701863924,0.488610987,-2.359969515,0.189096414,-3.793621738,-3.741484847,2.845263436,2.176224196,-4.224554146,-0.921113529,-1.550446194,-16.83880082,4.262335854,3.418529132,20.18338452,0.664564401,-10.54004399,-0.809092097,0.911134719,-1.995158275,-0.008896208,-0.637567875,-0.228543179
-7.565138314,1.539100053,3.283535516,-1.447369822,0.992065648,-3.334577154,1.503452739,-0.792839809,5.138984468,-2.76156823,-2.444916833,-1.808946991,-24.58967683,6.205005483,0.064341061,14.45884898,2.616271705,-9.627419014,-0.633391641,0.405539675,-1.878201007,0.877440903,-1.33924043,-1.22339684
-6.803805953,1.275012435,5.157094928,0.027050535,1.701481567,-1.892480156,5.860158583,-3.777871314,3.221949885,0.093005311,-3.511841441,0.464549495,-11.00202686,7.412778218,-16.33909951,-1.09780719,7.946981225,-4.408349633,-0.820739601,-0.153154088,-3.30951034,1.839027743,-1.714771667,-2.117131606
-0.197371337,1.071757715,5.681817127,0.935798258,2.03956125,-0.530873248,6.601281148,-4.329365982,-2.243630664,2.281631093,-3.662894572,3.818606252,15.73503781,7.21560007,-35.59629481,-16.92194545,13.71675755,1.479231577,-1.154704592,-0.36342682,-5.468098291,2.276853529,-1.537233136,-2.299857051
8.049057798,1.102233536,5.126338479,0.633734261,1.917917496,-0.255744604,3.290487391,-2.109166202,-7.468542792,2.299521786,-2.99642727,6.139073715,39.26091432,5.828267651,-46.04536772,-23.58772582,16.63699373,3.993215913,-1.38963324,-0.049686662,-7.092467376,1.982718276,-0.949439976,-1.650594257
12.86140208,1.398532031,4.002170835,-0.641448245,1.509241909,-1.271771825,-1.840648072,1.467617699,-8.963189834,0.237284266,-2.102449759,5.949642535,45.54721569,4.210449293,-42.09645679,-17.30218494,15.18893459,1.331980337,-1.436624711,0.61608518,-7.34926231,1.226936662,-0.359331681,-0.630910413
11.48744354,1.806777415,2.743027971,-1.917077648,1.124268723,-2.883860865,-5.317218638,4.142453357,-6.139190666,-2.286318219,-1.628116541,3.349092113,31.72297139,3.458438905,-27.49988428,-2.168009327,10.69009039,-4.946026151,-1.361746744,1.226078748,-6.385895618,0.552068195,-0.152459975,0.030982459
4.918272611,2.081139192,1.909120454,-2.121849288,1.007790459,-4.091406078,-4.804742195,4.239924931,-1.465161642,-3.317653895,-1.837426486,-0.053968193,7.090416639,4.14247666,-12.33257529,12.31248751,6.408964545,-11.05148222,-1.275135811,1.405560023,-5.186401415,0.463903253,-0.427827899,-0.143819551
-2.837107375,2.027835223,2.129976295,-0.872761155,1.235002447,-4.220813263,-0.598457432,1.631182965,1.469920159,-1.967829014,-2.489859535,-2.224329764,-12.97652066,5.946252274,-6.38657956,17.29997507,5.354525464,-13.39093554,-1.242456058,1.053275308,-4.873248274,1.109045038,-0.94112601,-1.054731084
-7.040716684,1.633751896,3.537400688,1.168950996,1.683954359,-3.222506811,4.736410087,-2.205883927,0.219914157,0.995093156,-3.001851779,-2.032127714,-15.87543706,7.830425025,-13.27651255,10.13643315,8.396730287,-10.72723969,-1.255792896,0.402594338,-5.940113816,2.118973937,-1.273993382,-2.104938658
-5.08288593,1.128835449,5.52040652,2.701304903,2.037906477,-1.713094124,7.955584789,-4.983382309,-4.973512838,3.652640758,-2.742554464,0.132306631,0.682241009,8.697251317,-28.42726493,-4.449052143,13.84480643,-4.920666362,-1.258676735,-0.124247518,-7.909842596,2.842955362,-1.104649055,-2.607270179
1.802089635,0.889597387,7.102854864,2.666140634,1.924665372,-0.678769949,6.958631741,-4.933115546,-11.1337311,4.183508678,-1.397421144,2.754002676,26.65547692,8.132339035,-42.13123281,-17.66950885,18.54211091,0.215152717,-1.231338025,-0.179482227,-9.668204249,2.843220299,-0.413927234,-2.238110179
9.367092793,1.176911673,7.394916216,1.005539896,1.204076415,-0.779185541,2.117266057,-1.977507898,-14.55697389,2.140931562,0.758622984,4.136415417,45.81667634,6.662749699,-45.94568401,-21.97770909,19.86102653,1.390104553,-1.260713285,0.284475014,-10.25903529,2.207143242,0.495630659,-1.262524064
13.12927703,1.910324796,5.999701756,-1.250999485,0.127282547,-1.821868771,-3.766171129,2.130901579,-13.53282696,-1.16434965,2.969545179,3.352537637,46.38483696,5.371542449,-38.01285453,-15.45773163,17.43450719,-2.021128215,-1.473740076,0.978245638,-9.531018616,1.439343676,1.191196858,-0.365805099
11.03791211,2.695515382,3.499235122,-2.675705781,-0.835275703,-2.988788364,-7.25329987,4.928608618,-9.32973462,-3.592948817,4.496509079,0.805915641,28.19459703,5.203388574,-23.67898771,-2.935126571,13.35055352,-7.718180774,-1.867514476,1.467217422,-8.167494029,1.107273602,1.397177324,-0.17574248
4.551335029,3.07119117,1.410022896,-2.416611149,-1.311671529,-3.481441871,-6.557776949,4.804287288,-4.966349698,-3.687419918,5.087032789,-2.010693821,2.175964183,6.373237209,-11.68516055,7.246712279,10.6368289,-12.08526449,-2.244385797,1.458326771,-7.172280337,1.4919403,1.17643163,-0.818554338
-2.248775491,2.780404405,1.18053358,-0.754784485,-1.226357045,-2.928401557,-2.47448826,1.928591244,-3.309041202,-1.59341478,5.068998962,-3.569838306,-16.10513107,8.177217328,-8.858198778,8.804155583,11.2518159,-12.43467635,-2.3509662,0.97952245,-7.213599031,2.387609161,0.87446178,-1.842261876
-5.126554307,1.936902715,3.069627527,1.106566613,-0.830969877,-1.504608322,2.399873371,-1.905856316,-5.569336612,1.110637618,5.114246142,-3.363956482,-15.31665095,9.401687475,-16.1846593,1.372207813,14.92782101,-8.612461079,-2.063880581,0.347144806,-8.209276404,3.189292949,0.877025728,-2.543207907
-2.393370352,1.012433688,5.962557277,1.822371726,-0.583276755,0.089010938,5.184058987,-4.330279112,-10.53867485,2.420635811,5.871385067,-2.067286794,4.432395267,9.149766411,-28.32500287,-9.802844821,19.39272923,-3.117347549,-1.475619552,-0.036635402,-9.407252547,3.297915622,1.360161424,-2.440625986
4.061771894,0.578100363,8.073712422,0.780178776,-0.853834927,0.988809311,4.262335976,-3.812036797,-15.25665433,1.218598574,7.586378274,-0.899000558,31.08864866,7.469821905,-37.10138474,-17.45209395,21.81889531,0.494157077,-0.885709482,0.068647783,-9.942321371,2.56947472,2.188852982,-1.589368226
10.14224522,0.909749682,7.904347414,-1.425981506,-1.625396204,0.82055815,0.343780712,-0.663866192,-17.10743536,-1.85669586,9.88056985,-0.87737805,48.32121251,5.308849645,-36.75223158,-16.74320665,20.74503442,0.001885244,-0.67603144,0.590860965,-9.455185176,1.432681052,3.007739662,-0.545252808
12.12286009,1.783530136,5.129705562,-3.315204873,-2.503073325,-0.02265629,-3.907930222,3.126488831,-15.59179369,-4.738642746,11.94082577,-2.27607423,45.82289853,3.921980641,-27.26739906,-8.310470654,17.11884235,-4.034189354,-1.037632392,1.194238316,-8.284947516,0.599208413,3.468889006,0.00455534
8.774420278,2.649916895,0.992038898,-3.521616784,-3.048330253,-0.770903151,-5.760110536,5.235844986,-12.32540155,-5.353746064,13.07176159,-4.411298991,25.03698182,4.170108907,-13.91282951,2.078273381,13.55974911,-8.784710946,-1.739582127,1.507080264,-7.158114769,0.61227511,3.463157813,-0.289266366
2.071439558,3.010440765,-2.369157448,-1.745901329,-3.087397128,-0.79915063,-4.226706654,4.522973841,-9.818924869,-3.02110368,13.16002487,-6.076607758,-2.060550002,6.000165732,-3.863321741,7.421849803,12.48618108,-11.03175803,-2.24693946,1.366748183,-6.680629344,1.506586561,3.191484198,-1.20155924
-3.929933307,2.718090611,-3.359707387,1.056859064,-2.768629997,0.128302219,-0.385569073,1.684898278,-10.13297942,1.142568074,12.7031078,-6.480182446,-19.6185425,8.386639381,-2.017987915,4.225805642,14.57900827,-9.132030654,-2.132512617,0.912128854,-6.95660225,2.756785568,3.013445614,-2.100958695
-5.644458417,2.075490066,-1.967995025,3.305270639,-2.429701248,1.742767842,3.513174019,-1.221900417,-13.75478686,4.890730972,12.47609998,-5.808559652,-17.22601478,9.937011866,-8.158389002,-5.437973406,18.4391392,-4.037520391,-1.377342733,0.480722801,-7.540202187,3.583598143,3.190865794,-2.390106052
-2.304242548,1.684049838,0.361632492,3.746015591,-2.369389725,3.304184878,5.281236508,-2.01747068,-19.15272924,6.14085655,13.07777686,-4.922607072,3.225135412,9.817976439,-17.22679057,-15.586971,21.47719739,1.212029913,-0.358774058,0.395012595,-7.775476757,3.459721955,3.719079363,-1.900154865
