Velocity Bin,Acceleration Bin,Direction Bin,Gait Category
7,12,2,2
7,13,2,2
7,13,2,2
7,13,2,2
7,13,2,2
7,13,2,2
7,12,2,2
7,12,2,2
7,12,2,2
7,12,2,2
7,13,2,2
7,14,2,2
8,14,2,2
8,14,2,2
8,14,2,2
9,14,2,2
9,14,2,5
9,14,2,5
9,13,2,5
9,12,2,2
9,11,2,2
9,11,2,2
8,11,2,2
8,12,2,2
8,13,2,2
8,13,2,2
8,12,2,2
8,12,2,2
8,12,2,3
8,13,2,3
8,13,2,3
8,13,2,3
8,13,2,3
8,12,2,3
8,12,2,3
8,12,2,3
8,12,2,3
8,12,2,3
8,12,2,3
8,13,2,3
8,13,2,3
8,13,2,3
8,13,2,3
8,13,2,3
8,13,2,3
8,14,2,3
8,14,2,3
9,13,2,3
9,13,2,3
9,13,2,3
9,13,2,3
9,13,2,3
9,13,2,3
9,13,2,3
10,13,2,3
10,13,2,3
10,13,2,3
10,13,2,3
10,13,2,3
10,13,2,3
11,13,2,3
11,13,2,3
11,13,2,3
11,13,2,3
11,13,1,3
11,13,1,3
11,13,1,3
11,12,1,3
11,12,1,3
11,11,1,3
10,11,1,3
10,10,1,3
9,10,1,3
9,10,1,3
8,10,1,3
8,11,1,5
7,11,1,5
7,12,1,5
7,12,1,5
7,11,1,5
6,11,1,5
6,11,1,5
6,12,1,5
6,13,1,5
7,14,1,5
7,15,1,5
7,14,1,5
7,12,1,5
7,11,1,5
6,10,1,5
6,11,1,5
6,13,1,4
6,14,1,4
7,14,1,4
7,14,1,4
8,14,1,4
8,14,1,4
8,13,1,4
8,13,1,4
8,13,1,4
9,13,1,4
9,13,1,4
9,14,1,4
10,15,1,4
10,15,1,4
11,14,1,4
11,13,1,3
11,12,1,3
11,12,1,3
11,12,1,3
11,13,1,3
11,13,1,3
11,14,1,3
11,14,2,3
12,14,2,3
12,14,2,3
12,14,2,3
13,13,2,3
13,13,2,3
13,13,2,3
13,12,2,3
13,12,2,3
12,11,2,3
12,11,2,3
12,11,2,3
11,11,2,3
11,11,2,3
11,11,2,3
11,11,2,3
10,11,2,3
10,11,2,3
10,11,2,3
10,11,2,3
9,11,2,3
9,11,2,3
8,10,2,3
7,10,2,3
7,9,2,3
6,9,2,3
5,10,2,2
4,10,2,2
4,11,2,2
4,12,2,2
4,12,2,5
4,13,2,5
4,13,2,5
4,13,2,5
4,13,2,5
4,13,2,5
5,13,2,5
5,13,2,5
5,14,2,5
5,14,2,5
6,14,2,5
6,13,2,5
6,12,2,5
6,12,2,5
6,12,2,5
6,13,2,5
6,13,2,5
6,13,2,5
6,14,2,5
7,13,2,5
7,13,2,5
7,13,2,5
7,13,2,5
7,12,2,5
7,12,2,5
7,12,2,5
7,12,2,2
7,13,2,2
7,13,2,2
7,13,2,2
7,13,2,2
7,13,2,3
7,13,2,3
7,13,2,3
7,13,2,3
8,14,2,3
8,14,2,3
9,14,2,3
9,14,2,3
9,14,2,3
9,13,2,3
10,13,2,3
10,13,2,3
10,13,2,3
10,14,2,3
10,14,2,3
11,14,2,3
11,14,2,3
11,13,2,3
11,12,2,3
11,12,2,3
11,11,2,3
10,11,2,3
10,11,2,3
10,12,2,3
10,13,2,3
10,13,2,3
10,13,2,3
11,13,2,3
11,13,2,3
11,14,2,3
11,14,2,3
12,14,2,3
12,14,2,3
12,13,2,3
12,13,2,3
12,13,2,3
12,13,2,3
12,12,2,3
12,12,2,3
12,11,2,3
12,11,2,3
11,12,2,3
11,12,2,3
11,13,2,3
11,13,2,3
11,13,2,3
11,12,2,3
11,12,2,3
11,11,2,3
10,10,2,3
9,9,2,3
8,9,2,2
8,9,2,5
7,10,2,5
7,11,3,5
6,12,3,5
6,12,3,5
6,12,3,5
6,11,3,5
5,10,3,5
4,10,3,5
4,11,3,5
4,12,3,5
4,13,2,5
4,14,2,5
4,14,2,5
5,14,2,5
5,14,2,4
6,14,2,4
6,14,2,4
6,14,2,4
7,15,2,4
8,15,2,4
8,15,2,4
9,16,2,4
10,16,2,4
11,16,3,4
11,15,3,3
12,15,3,3
12,14,3,3
13,14,3,3
13,14,3,3
14,14,3,3
14,13,3,3
14,13,3,3
14,13,3,3
14,13,3,3
14,13,3,3
14,12,3,3
14,12,3,3
14,12,3,3
14,12,3,3
14,12,3,3
14,12,3,3
13,11,3,3
13,11,3,3
13,11,3,3
12,11,3,3
12,11,3,3
12,12,3,3
12,12,3,3
12,12,3,3
12,12,3,3
11,12,3,3
11,12,3,3
11,12,3,3
11,12,3,3
11,12,3,3
11,12,3,3
11,12,3,3
11,12,3,3
11,12,3,3
11,12,3,3
11,12,3,3
11,12,3,3
10,12,3,3
10,12,3,3
10,11,3,3
9,11,3,3
9,10,3,3
8,10,3,3
8,10,3,2
7,10,2,2
6,9,2,5
5,10,2,5
5,10,2,5
4,11,2,5
4,12,2,5
4,12,2,5
4,13,3,5
5,14,3,5
5,14,3,5
6,14,3,5
6,14,3,5
6,13,3,5
6,12,2,5
6,12,2,5
5,11,2,5
5,11,2,5
5,11,2,5
4,12,2,4
4,12,2,4
4,12,2,3
4,13,2,3
4,13,2,3
4,13,2,3
5,13,2,3
5,15,2,3
6,16,2,3
7,17,2,3
8,17,2,3
9,17,2,3
10,16,2,3
11,15,2,3
11,14,2,3
11,13,2,3
11,12,2,3
11,11,2,3
11,11,2,3
10,11,2,3
10,12,2,3
10,12,2,3
10,13,2,3
10,13,2,3
10,13,2,3
10,13,2,3
10,12,2,3
10,12,2,3
10,12,2,3
10,12,2,3
10,12,2,3
10,13,2,3
10,13,2,3
10,13,2,3
10,14,2,3
11,14,2,3
11,14,2,3
11,14,2,3
11,13,2,3
12,13,2,3
12,13,2,3
12,12,2,3
11,12,2,3
11,12,2,3
11,12,2,3
11,12,2,3
11,12,2,3
11,12,2,3
11,12,2,3
11,12,2,3
11,12,2,3
11,12,2,3
10,12,2,3
10,12,2,3
10,12,2,3
10,11,2,3
9,11,2,3
9,10,2,3
8,10,2,2
8,10,2,2
7,10,2,2
6,10,2,2
6,11,2,2
6,11,2,2
5,12,2,2
5,12,2,5
6,13,2,5
6,13,2,5
6,13,2,5
6,13,2,5
6,13,2,5
6,13,2,5
6,13,2,5
6,13,2,5
7,13,2,5
7,14,2,5
7,14,2,5
7,14,2,5
8,13,2,5
8,13,2,5
8,13,2,5
8,13,2,2
8,13,2,3
8,13,2,3
9,13,2,3
9,14,2,3
9,14,2,3
10,14,2,3
10,15,2,3
11,15,2,3
11,15,2,3
12,15,2,3
12,15,2,3
13,14,2,3
13,14,2,3
14,14,2,3
14,13,2,3
14,13,3,3
14,13,3,3
14,13,3,3
14,13,3,3
15,13,3,3
15,13,3,3
15,13,3,3
15,12,3,3
15,12,3,3
14,12,3,3
14,12,3,3
14,12,3,3
14,11,3,3
13,11,3,3
13,11,3,3
13,11,3,3
12,11,3,3
12,11,3,3
11,11,3,3
11,11,3,3
11,12,3,3
11,12,3,3
11,12,2,3
10,12,2,3
10,12,2,3
10,12,2,3
10,12,2,3
10,12,2,3
10,12,2,3
10,12,2,3
10,12,2,3
9,12,2,3
9,11,2,3
9,10,2,3
8,10,2,3
7,10,2,2
6,10,2,2
6,10,2,5
5,11,2,5
5,11,2,5
5,12,2,5
5,12,2,5
5,13,2,5
5,13,2,5
5,13,2,5
6,13,2,5
6,13,2,5
6,13,2,5
6,13,2,5
6,13,2,5
6,13,2,5
6,12,2,5
6,12,2,5
6,12,2,5
6,12,2,5
5,12,2,5
5,12,2,4
5,12,2,4
5,12,2,4
5,13,2,4
5,13,2,4
5,13,2,4
6,13,1,4
6,14,1,4
6,14,1,4
7,14,1,4
7,14,1,4
7,13,1,4
7,12,1,4
7,12,1,4
7,12,1,4
6,12,1,4
6,12,1,4
6,12,1,4
6,13,1,4
6,13,1,4
6,13,1,3
6,13,1,3
6,13,1,3
7,13,1,3
7,13,1,3
7,13,1,3
7,13,1,3
7,14,1,3
8,14,1,3
8,14,1,3
8,14,1,3
9,14,1,3
9,13,1,3
9,13,1,3
9,13,1,3
9,12,1,3
9,12,1,3
8,11,1,3
8,11,1,3
8,11,1,3
8,12,1,3
7,12,1,3
7,13,1,3
8,13,1,3
8,13,1,3
8,13,1,3
8,13,1,3
8,13,1,3
9,13,1,3
9,13,1,3
9,13,1,3
9,13,1,3
9,13,1,3
9,13,1,3
10,13,1,3
10,13,1,3
10,13,1,3
10,12,1,3
10,12,1,3
9,11,1,3
9,11,1,3
8,10,1,3
8,10,1,2
7,10,1,2
7,10,1,2
6,11,1,2
6,12,1,2
6,12,2,2
6,13,2,2
6,13,2,2
6,13,2,2
7,13,2,2
7,13,2,2
7,13,2,2
7,12,2,2
7,12,2,2
7,12,2,2
6,12,2,2
6,12,2,2
6,12,2,5
6,12,2,5
6,12,2,5
6,12,2,5
6,13,2,5
6,13,2,5
6,13,2,5
6,13,2,5
6,13,2,5
7,13,2,5
7,14,2,5
7,14,2,5
8,14,2,5
8,14,2,4
8,13,2,4
8,13,2,4
8,13,2,4
8,13,2,4
8,12,2,4
8,12,2,4
8,12,2,4
8,13,2,3
9,13,3,3
9,14,3,3
10,15,3,3
11,16,3,3
11,16,3,3
12,16,3,3
13,15,3,3
13,14,3,3
13,13,3,3
13,13,3,3
13,13,3,3
13,13,3,3
14,13,3,3
14,13,3,3
14,13,3,3
14,12,3,3
14,12,3,3
13,12,3,3
13,12,3,3
13,12,3,3
13,12,3,3
13,12,3,3
13,12,3,3
12,12,4,3
12,12,4,3
12,12,4,3
12,12,4,3
12,12,4,3
12,12,4,3
12,12,4,3
12,12,4,3
12,12,4,3
12,12,4,3
11,11,4,3
11,10,4,3
10,10,4,3
10,10,4,3
9,10,4,2
9,11,4,2
8,12,4,2
8,12,4,2
8,12,4,2
8,12,4,2
8,12,4,2
7,11,4,2
7,11,4,2
7,11,4,2
6,11,4,2
6,12,4,2
6,13,4,5
6,13,4,5
7,13,4,5
7,13,4,5
7,12,4,5
7,12,4,5
6,11,4,5
6,11,4,5
6,12,4,5
6,12,4,5
6,13,4,5
6,13,4,5
6,14,3,5
7,14,3,5
7,13,3,5
7,12,3,5
6,11,3,5
6,10,3,2
5,11,3,3
5,12,3,3
5,13,3,3
5,13,3,3
5,12,3,3
5,13,4,3
6,15,4,3
7,16,4,3
8,17,4,3
9,17,4,3
10,16,4,3
11,16,4,3
11,15,4,3
12,14,4,3
12,14,3,3
12,13,3,3
12,12,3,3
12,12,3,3
12,12,3,3
12,12,3,3
12,12,3,3
12,13,3,3
12,13,3,3
12,13,3,3
12,14,3,3
12,13,3,3
13,13,3,3
13,13,3,3
13,13,3,3
13,13,3,3
13,13,3,3
13,13,3,3
13,13,3,3
14,13,3,3
14,13,3,3
14,13,3,3
14,12,3,3
14,12,3,3
14,12,3,3
13,12,3,3
13,12,3,3
13,12,3,3
13,12,3,3
13,12,3,3
12,12,3,3
12,12,3,3
12,11,3,3
11,10,3,3
11,10,3,3
10,9,3,3
9,9,3,3
8,8,3,5
7,9,3,5
6,9,3,5
5,9,3,5
5,10,3,5
4,10,3,5
4,11,3,5
3,11,3,5
3,12,3,5
3,12,3,5
3,13,3,5
4,14,3,5
4,14,3,5
4,14,3,5
5,14,3,4
5,13,3,4
5,14,3,4
5,14,3,4
6,14,3,4
6,13,3,4
6,12,3,4
6,12,3,4
5,11,3,4
5,12,3,4
5,12,3,3
5,13,3,3
5,13,3,3
6,14,3,3
6,14,3,3
7,15,3,3
7,15,3,3
8,14,3,3
8,14,3,3
8,14,3,3
9,13,3,3
9,13,3,3
9,13,3,3
9,13,3,3
9,13,3,3
9,13,3,3
9,13,3,3
9,13,3,3
9,13,3,3
9,12,3,3
9,12,3,3
9,12,3,3
8,12,3,3
8,12,3,3
8,12,3,3
8,12,3,3
8,12,3,3
8,13,3,3
8,13,3,3
8,13,3,3
8,13,3,3
8,13,3,3
8,12,3,3
8,12,3,3
8,12,3,3
8,11,3,2
7,11,3,2
7,11,3,2
7,11,3,2
6,12,3,5
6,12,3,5
6,12,3,5
6,13,3,5
7,13,3,5
7,14,3,5
7,14,2,5
8,14,2,5
8,13,2,5
8,13,2,5
8,12,2,5
8,12,2,5
7,12,2,5
7,12,2,5
7,13,2,2
7,13,2,2
8,14,2,2
8,14,2,2
8,14,2,2
9,14,2,2
9,13,2,5
9,13,2,5
9,13,2,5
9,13,2,5
9,13,2,5
9,13,2,5
9,13,2,5
10,14,2,4
10,14,2,4
10,14,2,4
11,14,2,4
11,13,2,4
11,12,2,4
10,11,2,4
10,11,2,4
10,11,2,4
9,11,2,3
9,11,2,3
9,12,2,3
9,13,2,3
9,13,2,3
9,14,2,3
10,14,2,3
10,14,2,3
10,14,2,3
11,14,2,3
11,14,2,3
11,14,2,3
12,13,2,3
12,13,2,3
12,13,2,3
12,12,2,3
12,12,2,3
12,12,2,3
12,12,2,3
12,13,2,3
12,13,1,3
12,13,1,3
12,13,1,3
12,13,1,3
12,13,1,3
12,12,1,3
12,12,1,3
12,12,1,3
12,12,1,3
12,12,1,3
11,12,1,3
11,12,1,3
11,12,1,3
11,12,1,3
11,12,1,3
11,12,1,3
10,12,1,3
10,12,1,3
10,12,1,3
10,11,1,3
9,11,1,3
9,10,1,2
8,10,2,2
7,9,2,2
6,9,2,2
6,9,2,2
5,9,2,2
4,10,2,2
4,11,2,5
3,11,2,5
3,12,2,5
3,13,2,5
3,13,2,5
3,13,2,5
4,13,2,5
3,12,2,5
3,12,2,5
4,13,2,5
4,13,2,5
4,13,2,5
4,13,2,5
4,14,2,4
5,15,2,4
6,15,2,4
6,16,2,4
7,15,2,4
8,15,2,4
8,15,2,4
9,14,2,4
9,14,2,4
9,14,2,4
10,14,2,4
10,14,2,3
11,15,2,3
11,16,2,3
12,16,2,3
13,16,2,3
14,16,2,3
15,16,2,3
16,15,2,3
16,14,2,3
16,13,2,3
16,12,2,3
16,11,3,3
15,11,3,3
15,10,3,3
14,10,3,3
14,11,3,3
13,11,3,3
13,12,3,3
13,12,3,3
13,12,3,3
13,12,3,3
13,12,3,3
13,12,3,3
12,12,3,3
12,12,3,3
12,13,3,3
12,13,3,3
13,13,3,3
13,13,3,3
13,13,3,3
13,13,3,3
13,13,3,3
13,13,3,3
13,12,3,3
13,12,3,3
12,11,3,3
12,10,3,3
11,10,3,3
10,9,3,3
9,9,3,2
8,9,3,2
8,9,2,2
7,9,2,2
6,9,2,2
5,10,2,2
5,10,2,5
4,12,2,5
4,13,2,5
5,14,2,5
6,15,2,5
6,15,2,5
6,14,2,5
6,12,2,5
6,11,2,5
6,11,2,5
6,12,2,5
6,12,2,5
5,12,2,5
5,11,2,5
5,11,2,5
4,10,2,2
4,11,2,2
4,13,2,2
5,16,2,3
6,17,2,3
7,17,2,3
8,16,2,3
8,15,2,3
9,14,2,3
9,13,2,3
9,13,2,3
9,13,2,3
9,13,2,3
9,13,2,3
9,12,2,3
9,12,2,3
9,12,2,3
9,11,2,3
8,11,2,3
8,11,2,3
8,12,2,3
8,12,2,3
8,12,2,3
7,12,2,3
7,12,2,3
7,12,2,3
7,12,2,3
7,13,2,3
7,13,2,3
7,13,2,3
7,13,2,3
7,12,2,3
7,12,2,3
7,12,2,3
7,12,2,3
7,13,2,3
7,13,2,3
7,13,2,3
7,13,2,3
7,13,2,3
7,12,2,3
7,11,2,3
7,11,2,3
6,11,2,3
6,12,2,3
7,13,2,3
7,14,2,3
8,15,2,4
8,15,2,4
9,15,2,4
9,14,2,4
9,13,2,4
9,12,2,4
9,12,2,4
9,12,2,4
9,13,2,4
9,13,2,4
9,13,2,4
10,13,2,4
10,13,2,4
10,13,2,4
10,13,2,4
10,13,2,5
10,13,2,5
10,12,2,5
10,12,2,5
10,11,2,5
9,11,2,5
9,11,2,5
8,11,3,5
8,11,3,5
8,12,3,5
8,12,3,5
8,13,3,5
8,13,3,5
8,13,3,5
8,12,3,5
8,12,3,5
8,12,3,4
8,12,3,4
8,13,3,4
8,13,3,4
8,14,3,4
8,14,3,4
9,13,3,4
9,13,3,4
9,12,3,3
8,12,2,3
8,12,2,3
8,12,2,3
8,13,2,3
9,14,3,3
9,15,3,3
10,15,3,3
11,16,3,3
12,16,2,3
12,15,2,3
13,14,2,3
13,13,2,3
12,12,2,3
12,12,2,3
12,13,2,3
13,13,2,3
13,13,2,3
13,13,2,3
13,13,2,3
13,13,2,3
13,13,2,3
13,13,2,3
13,13,2,3
13,13,2,3
14,13,2,3
14,13,2,3
13,12,2,3
13,11,2,3
13,11,2,3
12,11,2,3
12,11,2,3
12,11,2,3
11,12,2,3
11,12,2,3
11,13,2,3
12,13,2,3
12,13,2,3
12,13,2,3
12,12,2,3
12,12,2,3
11,11,2,3
10,9,2,3
9,8,2,3
8,8,2,2
7,8,2,2
6,9,2,5
5,9,2,5
5,10,1,5
5,11,1,5
4,12,1,5
4,12,1,5
4,12,1,5
4,12,1,5
4,12,1,5
4,12,1,5
4,12,1,5
4,12,1,5
4,13,1,5
4,13,1,5
4,13,1,5
4,13,1,5
4,13,1,5
4,13,1,5
4,13,1,5
5,13,1,5
5,13,1,4
5,13,1,4
5,13,1,4
5,13,1,4
6,13,1,4
6,13,1,4
6,13,1,4
6,13,1,4
6,13,1,4
6,13,1,4
6,13,1,4
6,13,1,4
7,13,1,4
