Velocity Bin,Direction Bin,Gait Category
3,3,5
3,3,5
3,3,5
3,3,5
3,3,5
3,3,5
3,3,4
3,3,4
4,3,4
4,3,4
4,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
5,3,4
6,3,4
6,3,4
6,3,4
6,3,4
7,3,4
7,3,4
7,3,4
8,3,4
8,3,4
8,3,4
9,3,4
9,3,4
9,3,4
8,3,4
8,3,4
8,3,4
7,3,4
7,3,4
7,3,4
6,3,4
6,3,4
6,3,4
6,3,4
7,3,4
7,3,4
7,3,4
7,3,4
7,2,4
7,2,4
7,2,4
7,2,4
7,2,4
7,2,4
6,2,4
6,2,4
6,2,4
6,2,4
6,2,4
6,2,5
5,2,5
5,2,5
5,2,5
5,2,5
6,2,5
6,2,5
6,2,5
6,2,5
5,2,5
5,2,5
5,2,5
5,2,5
5,2,5
5,2,5
5,3,5
5,3,5
5,3,5
6,3,5
6,3,5
6,3,5
6,3,5
6,3,5
6,3,5
6,3,5
6,3,5
5,3,5
5,3,5
4,3,5
4,3,5
4,3,5
4,3,5
4,3,5
4,3,2
4,3,2
4,3,2
5,3,2
5,3,2
6,3,2
6,3,2
7,3,2
7,3,2
7,3,2
8,3,2
8,3,2
8,3,2
8,3,2
8,3,2
8,3,2
9,3,2
9,3,2
9,3,2
9,3,2
9,3,2
9,3,2
8,3,2
8,3,2
7,3,2
7,3,2
6,3,2
6,3,5
5,3,5
5,3,5
4,3,5
4,3,5
3,2,5
3,2,5
4,2,5
4,2,5
4,2,5
5,2,5
5,2,5
5,2,5
5,3,5
5,3,5
5,3,5
5,3,5
5,3,5
5,3,5
6,3,5
6,3,5
7,3,5
7,3,5
8,3,5
8,3,5
8,3,4
8,3,4
9,3,4
9,3,4
9,3,4
9,3,4
10,3,4
10,3,4
10,3,4
10,3,4
10,3,4
10,3,4
10,3,4
10,3,4
9,3,4
9,3,4
9,3,4
9,3,4
9,3,4
8,3,4
8,3,4
8,3,4
7,3,4
7,3,4
6,3,4
6,3,4
6,3,4
5,3,4
5,3,4
5,3,4
4,3,4
4,3,4
4,3,4
4,3,4
4,3,4
4,3,4
4,3,4
4,3,4
4,3,4
4,4,4
4,4,4
4,4,4
4,4,2
4,4,2
4,4,2
4,4,2
4,4,2
4,4,2
4,4,2
4,4,2
4,4,2
4,4,2
5,4,2
5,4,2
5,4,2
5,4,2
6,4,2
6,4,2
6,4,2
6,4,2
6,4,2
6,4,5
6,4,5
6,4,5
6,4,5
6,4,5
6,4,5
6,4,5
6,4,5
6,4,5
6,4,5
6,4,5
6,4,5
6,4,5
6,4,5
6,4,5
7,4,5
7,4,5
7,4,5
7,4,5
7,4,5
7,4,5
7,4,5
7,4,5
7,4,5
7,4,5
8,4,5
8,4,4
8,4,4
8,4,4
8,4,4
8,4,4
8,4,4
9,4,4
9,4,4
9,4,4
9,4,4
9,4,4
9,4,4
9,4,4
8,4,4
8,4,4
8,4,4
8,4,4
7,4,4
7,4,4
7,4,4
7,4,4
6,4,4
6,4,4
6,4,4
6,4,4
6,4,4
6,4,5
6,4,5
6,4,5
6,4,5
6,4,5
6,4,5
6,4,5
6,4,5
6,4,5
6,4,5
6,4,5
6,4,5
6,4,5
6,4,5
