Velocity Bin,Acceleration Bin,Direction Bin,Gait Category
5,12,7,1
4,11,7,1
4,11,7,1
4,12,7,1
4,12,7,1
4,13,7,1
4,13,7,2
4,13,7,2
4,13,7,2
4,13,7,2
4,13,7,2
4,13,7,2
5,13,7,2
5,13,7,2
5,13,7,2
5,12,7,2
5,12,7,2
5,12,7,2
5,13,7,2
5,13,7,2
5,13,7,2
5,13,7,2
5,13,7,2
5,13,7,2
5,13,7,2
5,13,7,2
5,13,7,2
5,13,7,2
5,12,7,2
5,12,7,2
5,12,7,2
5,12,7,2
5,12,7,2
5,12,7,2
5,12,7,2
5,12,7,2
5,13,7,2
5,13,7,2
5,13,7,2
5,13,7,2
6,13,7,2
6,12,7,2
5,12,7,2
5,12,7,2
5,12,7,2
5,12,7,2
5,12,7,2
5,12,7,2
4,12,7,2
4,12,7,2
4,12,7,2
4,12,7,2
4,12,7,2
4,12,7,2
4,12,7,2
4,12,7,2
4,12,7,5
4,12,7,5
4,12,7,5
4,12,7,5
3,12,7,5
3,12,7,5
3,12,7,5
3,12,7,5
3,12,7,5
3,12,7,5
3,12,7,5
3,12,7,5
3,12,7,5
3,13,7,5
3,14,7,5
4,14,7,5
4,15,7,5
5,14,7,5
5,14,7,5
5,14,7,5
6,13,7,5
6,13,7,5
6,13,7,5
6,13,7,5
6,13,7,5
6,12,7,5
6,12,7,5
6,12,7,5
6,12,7,5
6,12,7,5
5,12,7,5
5,12,7,5
5,12,7,5
5,12,7,5
5,12,7,5
5,12,7,5
5,12,7,5
5,12,7,5
5,12,7,5
4,12,7,5
4,12,7,5
4,12,7,5
4,12,7,5
4,12,7,5
4,12,7,5
4,12,7,5
3,12,7,5
3,12,7,5
3,12,7,5
3,12,7,5
3,12,7,5
3,12,7,5
3,12,7,5
3,12,7,5
3,12,7,5
2,12,7,5
2,12,7,5
2,12,7,5
2,13,7,5
3,13,7,5
3,13,7,5
3,13,7,5
3,13,7,5
3,13,7,5
3,12,7,5
3,12,7,5
3,12,7,5
3,12,6,5
3,13,6,5
3,13,6,5
3,13,6,5
4,13,6,5
4,13,6,5
4,13,6,5
4,13,6,5
4,13,6,5
4,13,6,5
4,14,6,5
5,14,6,5
5,14,6,5
6,14,6,5
6,14,6,5
6,14,6,5
6,14,6,5
7,13,6,5
7,13,6,5
7,13,6,2
7,13,6,2
7,13,6,2
7,12,6,2
7,11,6,2
6,11,6,2
6,10,6,2
5,10,6,2
5,11,6,2
5,12,6,2
5,13,6,2
5,13,6,2
5,14,6,2
6,14,6,2
6,14,6,2
7,15,6,2
7,15,6,2
8,14,6,2
8,14,6,2
8,14,6,2
8,13,6,2
9,13,6,2
8,12,6,2
8,12,6,2
8,12,6,2
8,11,6,2
7,11,6,2
7,11,6,2
7,11,6,2
6,11,6,2
6,12,6,2
6,12,6,2
6,12,6,2
6,12,6,2
6,13,6,2
6,13,6,2
6,13,6,2
6,13,6,2
6,12,6,2
6,12,6,2
6,12,6,2
5,12,6,2
5,12,6,2
5,12,6,2
5,12,6,2
5,12,6,2
4,12,6,2
4,12,6,2
4,12,6,2
4,13,6,2
4,13,6,2
5,13,6,2
5,13,6,2
5,14,6,2
5,14,6,2
6,13,6,2
6,13,6,2
6,13,6,5
6,13,6,5
6,13,6,5
6,13,6,5
6,12,6,5
6,12,6,5
