L1.fem,L2.fem,L3.fem,R1.fem,R2.fem,R3.fem,L1.cox.Y,L2.cox.Y,L3.cox.Y,R1.cox.Y,R2.cox.Y,R3.cox.Y
-5.417680461,42.19721479,17.64877087,35.87085289,21.59798337,39.75687635,-8.404328587,-44.10539611,-16.45705068,-24.50657561,-12.14083383,-4.396631794
-5.417680461,42.58933341,18.9463786,37.02176017,19.94534684,39.80432473,-8.433554682,-44.51983501,-17.61491512,-25.90244757,-10.76193634,-4.344938358
16.2123748,42.85352499,20.22659464,37.73982281,18.49149496,39.82624257,-28.30249348,-44.79003946,-18.67692975,-26.85642346,-9.568057706,-4.295330048
25.40959101,42.8863689,21.39676742,37.87233049,17.49872549,39.78735694,-36.78887284,-44.80268128,-19.52321317,-27.21018143,-8.790153347,-4.233940216
32.2141922,42.62117501,22.35072582,37.41373873,17.1460836,39.64762992,-43.09455625,-44.49032314,-20.05684742,-26.9602563,-8.583869128,-4.135094021
37.6074458,42.04942934,23.00772765,36.49022606,17.4625138,39.3811295,-48.12761109,-43.85306503,-20.22918446,-26.23866051,-8.97324354,-3.976223788
41.7938093,41.23734264,23.3543843,35.33894798,18.31752724,38.99506778,-52.08031814,-42.97152363,-20.05534484,-25.28341763,-9.844372634,-3.754875151
44.75970645,40.32599311,23.47949148,34.26463123,19.48255201,38.53458481,-54.93516142,-42.00103887,-19.62290001,-24.3876868,-10.99973477,-3.495345309
46.48399528,39.50590051,23.59190962,33.55474959,20.71888818,38.06819095,-56.65489153,-41.14062878,-19.09658689,-23.81506996,-12.23480298,-3.240104266
47.04174004,38.96477567,23.99574577,33.36932038,21.84572352,37.66096975,-57.27833861,-40.57816432,-18.70186013,-23.69908274,-13.39657189,-3.031384239
46.63459671,38.82146299,24.988097,33.668243,22.77306263,37.34965587,-56.95362078,-40.42587099,-18.65417867,-23.98413073,-14.41045743,-2.893877414
45.56637889,39.07577536,26.70245934,34.23570661,23.50101921,37.13041868,-55.92633274,-40.67444885,-19.04476743,-24.45837382,-15.27611065,-2.825948931
44.18650758,39.60501904,29.0173097,34.78985041,24.09159387,36.96070884,-54.50098834,-41.19384236,-19.77575626,-24.86238047,-16.03765775,-2.799070176
42.82251609,40.21093739,31.62112885,35.10720404,24.62898041,36.77145861,-52.98808416,-41.78247311,-20.61720521,-25.00588424,-16.7449039,-2.76328156
41.71633354,40.6881283,34.17135279,35.10244923,25.19197611,36.48772632,-51.6426184,-42.23558285,-21.33301743,-24.83826049,-17.43017792,-2.660447466
40.97935594,40.88002155,36.42317037,34.84628406,25.84951678,36.05605428,-50.60739933,-42.39905696,-21.77568355,-24.45905618,-18.11252084,-2.446681709
